ticker,change
HPQ,0.061267959
HUM,-0.003044353
HII,0.026411537
HBAN,0.01790454
IEX,-0.016627213
IDXX,-0.001223214
ITW,-0.001132155
ILMN,-0.015216135
INCY,0.024549454
IR,-0.017881703
INTC,0.093690705
ICE,-0.005221789
IBM,0.025370803
IP,0.034852579
IPG,0.016169553
IFF,0.023149248
INTU,-0.015326889
ISRG,0.012672961
IVZ,0.038046004
IPGP,-0.032810775
IQV,-0.009736999
IRM,0.063609143
JBHT,-0.022293906
JKHY,0.039071257
J,-0.014368393
JNJ,0.006199149
JCI,0.00531186
JPM,0.016254954
JNPR,0.034267886
K,0.030680868
KEY,0
KEYS,-0.001060632
KMB,-0.003727363
KIM,0.017954004
KMI,0.055340344
KLAC,0.028516907
KHC,0.044391335
KR,0.023706891
LHX,0.015717346
LH,-0.009759315
LRCX,0.033453829
LW,0.050100926
LVS,0.013181756
LDOS,0.02030644
LEN,-0.061664049
LLY,-0.002140677
LNC,0.039736059
LIN,0.02587698
LYV,0.020802271
LKQ,-0.010371641
LMT,0.031045463
L,0.02359741
LOW,-0.064499154
LUMN,0.040145947
LYB,0.02620545
MTB,0.016557789
MRO,0.039521026
MPC,0.028132032
MKTX,0.009206212
MAR,0.009238054
MMC,0.026320632
MLM,0.029720038
MAS,-0.064065887
MA,0.009954287
MTCH,0.066979953
MKC,0.012406916
MCD,0.02660205
MCK,0.03514039
MDT,-0.002666675
MRK,0.028838842
FB,0.048843924
MET,0.036643949
MTD,-0.004460007
MGM,0.0088453
MCHP,0.007705419
MRNA,-0.053940053
MHK,-0.058082076
MOH,0.008211268
TAP,0.024881244
MDLZ,0.002444216
MPWR,0.058329558
MNST,-0.003797507
MCO,0.0113216
MS,-0.002483569
MOS,0.061607137
MSI,0.001421927
MSCI,-0.032919137
NDAQ,-0.0132853
NTAP,-0.031751385
NFLX,-0.001975467
NWL,0.003598737
NEM,0.034731242
NWSA,0.026363633
NWS,0.029609682
NEE,0.026161361
NLSN,-0.021089611
NKE,0.026960553
NI,0.025691659
NDSN,-0.009063979
NSC,0.01873087
NTRS,0.041219117
NOC,0.025929213
NLOK,0.040073534
NCLH,0.011716834
NRG,-0.004302228
NUE,0.104168092
NVDA,0.035834582
NVR,-0.045929033
NXPI,-0.000262389
ORLY,0.026098904
OXY,-0.036909449
ODFL,-0.01885612
OMC,0.022556383
OKE,0.054728549
ORCL,0.009510922
OGN,0.006327329
OTIS,-0.001163895
PCAR,0.002817854
PKG,-0.001279325
PARA,0.0571428
PH,0.006585083
PAYX,0.016185086
PAYC,-0.03015314
PYPL,-0.007762751
PENN,-0.041329967
PNR,-0.024274359
PEP,0.01648627
PKI,-0.02125773
PFE,-0.026019559
PM,-0.007329535
PSX,0.039935524
PNW,0.025371187
PXD,0.02201608
PNC,0.017926568
POOL,-0.093690926
PPG,0.004266566
PPL,0.025650578
PFG,0.053837376
PG,0.013999473
PGR,0.040024941
PLD,-0.010005011
PRU,0.041088849
PEG,0.012750195
PTC,-0.030270159
PSA,0.022962244
PHM,-0.058671816
PVH,0.030400015
QRVO,0.015124582
PWR,0.047418513
QCOM,0.015296645
DGX,0.001598858
RL,-0.008945127
RJF,0.033465693
RTX,0.024914927
O,0.020576676
REG,0.026237834
REGN,-0.018998821
RF,0.028972776
RSG,-0.000228076
RMD,-0.064681882
RHI,-0.009731755
ROK,0.022974566
ROL,-0.000591205
ROP,0.006894702
ROST,-0.009333463
RCL,0.017052226
SPGI,0.021518903
CRM,-0.012586573
SBAC,0.004242931
SLB,0.060451609
STX,-0.014630958
SEE,0.011983044
SRE,0.020157028
NOW,-0.013917151
SHW,-0.002481493
SBNY,-0.007623505
SPG,0.008600656
SWKS,0.02571731
SJM,0.027041594
SNA,-0.018656826
SEDG,0.074307881
SO,0.029612439
LUV,0.037400709
SWK,-0.066855486
SBUX,0.006792498
STT,0.024558603
STE,0.018295284
SYK,0.000790065
SIVB,0.036940132
SYF,0.007971333
SNPS,0.014635252
SYY,0.001981469
TMUS,-0.013336511
TROW,0.022310703
TTWO,0.021690244
TPR,0.01504751
TGT,-0.019686096
TEL,0.001742376
TDY,0.050898063
TFX,-0.026670542
TER,0.025632532
TSLA,0.097138439
TXN,0.024603718
TXT,-0.001062582
TMO,-0.025470915
TJX,0.004918827
TSCO,0.002633968
TT,-0.004797544
TDG,0.030887167
TRV,0.028541727
TRMB,0.011585189
TFC,0.025417975
TWTR,0.030982903
TYL,-0.013867225
TSN,0.004042486
USB,0.017094001
UDR,0.011097429
ULTA,0.024373152
UAA,0.017523319
UA,0.027432992
UNP,0.033533684
UAL,0.057037991
UNH,0.010577996
UPS,-0.014687004
URI,0.045629748
UHS,0.003659731
VLO,0.031720749
VTR,0.056883224
VRSN,0.003861911
VRSK,-0.011030845
VZ,0.003522511
VRTX,0.014744676
VFC,0.016117603
VTRS,0.038997131
V,0.006404347
VNO,0.018546769
VMC,0.013053282
WAB,0.006111418
WMT,-0.005408021
WBA,-0.005487592
WM,0.001602256
WAT,-0.035819882
WEC,0.02476492
WFC,0.027766953
WELL,0.037972
WST,-0.017957116
WDC,0.037997969
WRK,0.022383271
WY,-0.015054865
WHR,-0.029014979
WMB,0.042461571
WTW,0.028701099
WYNN,0.02515956
XEL,0.019907635
XYL,-0.011065494
YUM,0.009110864
ZBRA,-0.00903293
ZBH,0.035029724
ZION,0.048996452
ZTS,-0.027117322
